Actors,Comment,CountryOrRegion,Direction,Last,MovieTypes,OriginalTitle,Rank,Score,ScreenWriter,Title,Url,Votes,Year
安东内拉·阿蒂利 恩佐·卡拉瓦勒 艾萨·丹尼埃利 里奥·故罗塔 马克·莱昂纳蒂 普佩拉·玛奇奥 阿格妮丝·那诺 莱奥波多·特里耶斯泰 萨瓦特利·卡西欧 塔诺·希玛罗萨 尼古拉·迪·平托 Roberta Lena 尼诺·戴罗佐 雅克·贝汉 布丽吉特·佛西 菲利普·努瓦雷,那些吻戏，那些青春，都在影院的黑暗里被泪水冲刷得无比清晰。,意大利   法国,朱塞佩·托纳多雷,155,剧情 爱情,Nuovo Cinema Paradiso,20,9.1,Carl Paoli 朱塞佩·托纳多雷,天堂电影院,https://movie.douban.com/subject/1291828/,308927,1988
托马斯·米切尔 芭芭拉·欧内尔 费雯·丽 伊夫林·凯耶斯 安·卢瑟福德 乔治·里弗斯 弗莱德·克莱恩 海蒂·麦克丹尼尔斯 奥斯卡·波尔克 巴特弗莱·麦昆 维克托·乔里 埃弗雷特·布朗 霍华德·C·希克曼 艾丽西亚·瑞特 莱斯利·霍华德 奥利维娅·德·哈维兰 兰德·布鲁克斯 卡洛尔·奈 克拉克·盖博 劳拉·霍普·克鲁斯 埃迪·安德森 哈里·达文波特 利昂娜·罗伯特 简·达威尔 欧娜·满森 保罗·赫斯特 伊莎贝尔·朱尔 卡米·金·肯伦 艾瑞克·林登 J·M·克里根 沃德·邦德 莉莲·肯布尔-库珀,Tomorrow is another day.,美国,维克多·弗莱明 乔治·库克 山姆·伍德,238,剧情 爱情 历史 战争,Gone with the Wind,19,9.2,玛格丽特·米歇尔 西德尼·霍华德 奥利弗·H·P·加勒特 本·赫克特 乔·斯沃林 约翰·范·德鲁登,乱世佳人,https://movie.douban.com/subject/1300267/,270619,1939
金·凯瑞 劳拉·琳妮 艾德·哈里斯 诺亚·艾默里奇 娜塔莎· 麦克艾霍恩,如果再也不能见到你，祝你早安，午安，晚安。,美国,彼得·威尔,103,剧情 科幻,The Truman Show,18,9.1,安德鲁·尼科尔,楚门的世界,https://movie.douban.com/subject/1292064/,452308,1998
日高法子 坂本千夏 糸井重里 岛本须美 北林谷荣 高木均 雨笠利幸 丸山裕子 广濑正志 鹫尾真知子 铃木玲子 千叶繁 龙田直树 鳕子 西村朋纮 石田光子 神代知衣 中村大树 水谷优子 平松晶子 大谷育江,人人心中都有个龙猫，童年就永远不会消失。,日本,宫崎骏,86,动画 家庭 儿童 奇幻,となりのトトロ,16,9.1,宫崎骏,龙猫,https://movie.douban.com/subject/1291560/,417179,1988
马龙·白兰度 阿尔·帕西诺 詹姆斯·肯恩 理查德·卡斯特尔诺 罗伯特·杜瓦尔 斯特林·海登 约翰·马利 理查德·康特 艾尔·勒提埃里 黛安·基顿 阿贝·维高达 塔莉娅·夏尔 吉亚尼·罗素 约翰·凯泽尔 鲁迪·邦德,千万不要记恨你的对手，这样会让你失去理智。,美国,弗朗西斯·福特·科波拉,175,剧情 犯罪,The Godfather,17,9.2,马里奥·普佐 弗朗西斯·福特·科波拉,教父,https://movie.douban.com/subject/1291841/,342676,1972
周星驰 吴孟达 朱茵 蔡少芬 蓝洁瑛 莫文蔚 罗家英 刘镇伟 陆树铭 李健仁,一生所爱。,香港   中国大陆,刘镇伟,95,喜剧 动作 爱情 奇幻 冒险,西遊記大結局之仙履奇緣,15,9.2,刘镇伟 吴承恩,大话西游之大圣娶亲,https://movie.douban.com/subject/1292213/,486548,1995
热拉尔·朱尼奥 让-巴蒂斯特·莫尼耶 弗朗索瓦·贝莱昂 凯德·麦拉德 玛丽·布奈尔 马科森斯·珀林 让-保罗·博奈雷 格雷戈里·加迪诺尔 托马斯·布伦门塔尔 Cyril Bernicot Simon Fargeot Théodule Carré-Cassaigne Philippe du Janerand 卡罗尔·韦斯 Erick Desmarestz,天籁一般的童声，是最接近上帝的存在。 ,法国   瑞士   德国,克里斯托夫·巴拉蒂,97,剧情 音乐,Les choristes,14,9.2,Georges Chaperot 勒·惠勒,放牛班的春天,https://movie.douban.com/subject/1291549/,450989,2004
理查·基尔 萨拉·罗默尔 琼·艾伦 罗比·萨布莱特 艾瑞克·阿瓦利 田川洋行 杰森·亚历山大 罗伯特·卡普荣,永远都不能忘记你所爱的人。,美国   英国,拉斯·霍尔斯道姆,93,剧情,Hachi: A Dog's Tale,13,9.2,斯蒂芬·P·林赛 新藤兼人,忠犬八公的故事,https://movie.douban.com/subject/3011091/,453526,2009
阿米尔·汗 卡琳娜·卡普尔 马达范 沙尔曼·乔希 奥米·瓦依达 博曼·伊拉尼 莫娜·辛格 拉杰夫·拉宾德拉纳特安,英俊版憨豆，高情商版谢耳朵。,印度,拉吉库马尔·希拉尼,171,剧情 喜剧 爱情 歌舞,3 Idiots,12,9.1,维德胡·维诺德·乔普拉 拉吉库马尔·希拉尼 阿西奇·乔希,三傻大闹宝莱坞,https://movie.douban.com/subject/3793023/,671862,2009
蒂姆·罗斯 普路特·泰勒·文斯 比尔·努恩 梅兰尼·蒂埃里 阿尔贝托·巴斯克斯,每个人都要走一条自己坚定了的路，就算是粉身碎骨。 ,意大利,朱塞佩·托纳多雷,165,剧情 音乐,La leggenda del pianista sull'oceano,11,9.2,亚利桑德罗·巴里克 朱塞佩·托纳多雷,海上钢琴师,https://movie.douban.com/subject/1292001/,597778,1998
本·贝尔特 艾丽莎·奈特 杰夫·格尔林 佛莱德·威拉特,小瓦力，大人生。,,安德鲁·斯坦顿,98,喜剧 爱情 科幻 动画 冒险,WALL·E,10,9.3,安德鲁·斯坦顿 吉姆·里尔顿 彼特·道格特,机器人总动员,https://movie.douban.com/subject/2131459/,497653,2008
Actors,Comment,CountryOrRegion,Direction,Last,MovieTypes,OriginalTitle,Rank,Score,ScreenWriter,Title,Url,Votes,Year
连姆·尼森 本·金斯利 拉尔夫·费因斯 卡罗琳·古多尔 乔纳森·萨加尔 艾伯丝·戴维兹 马尔戈萨·格贝尔 马克·伊瓦涅 碧翠斯·马科拉 安德烈·瑟韦林 弗里德里希·冯·图恩 克齐斯茨托夫·拉夫特 诺伯特·魏塞尔,拯救一个人，就是拯救整个世界。,美国,史蒂文·斯皮尔伯格,195,剧情 历史 战争,Schindler's List,7,9.4,托马斯·肯尼利 斯蒂文·泽里安,辛德勒的名单,https://movie.douban.com/subject/1295124/,385998,1993
柊瑠美 入野自由 夏木真理 菅原文太 内藤刚志 神木隆之介 泽口靖子 我修院达也,最好的宫崎骏，最好的久石让。 ,日本,宫崎骏,125,剧情 动画 奇幻,千と千尋の神隠し,6,9.2,宫崎骏,千与千寻,https://movie.douban.com/subject/1291561/,668946,2001
罗伯托·贝尼尼 尼可莱塔·布拉斯基 乔治·坎塔里尼 朱斯蒂诺·杜拉诺 赛尔乔·比尼·布斯特里克 玛丽萨·帕雷德斯 霍斯特·布赫霍尔茨 利迪娅·阿方西 朱利亚娜·洛约迪切 亚美利哥·丰塔尼 彼得·德·席尔瓦 弗朗西斯·古佐 拉法埃拉·莱博罗尼 克劳迪奥·阿方西 吉尔·巴罗尼 马西莫·比安奇 恩尼奥·孔萨尔维 吉安卡尔洛·科森蒂诺 阿伦·克雷格,最美的谎言。,意大利,罗伯托·贝尼尼,116,剧情 喜剧 爱情 战争,La vita è bella,5,9.5,温琴佐·切拉米 罗伯托·贝尼尼,美丽人生,https://movie.douban.com/subject/1292063/,418842,1997
汤姆·汉克斯 罗宾·怀特 加里·西尼斯 麦凯尔泰·威廉逊 莎莉·菲尔德 Michael Conner Humphreys 海利·乔·奥斯蒙,一部美国近现代史。,美国,罗伯特·泽米吉斯,142,剧情 爱情,Forrest Gump,4,9.4,艾瑞克·罗斯 Winston Groom,阿甘正传,https://movie.douban.com/subject/1292720/,717703,1994
